<<<<<<< HEAD
French,English
je ,I
est ,East
pas ,not
le ,THE
que ,that
la ,there
vous ,YOU
tu ,you
un ,A
c' ,vs'
à ,has
et ,And
il ,he
a ,has
l' ,L'
ne ,born
les ,THE
j' ,I
en ,in
on ,we
ça ,That
une ,a
d' ,d '
ce ,This
qu' ,that
pour ,For
ai ,have
n' ,not'
des ,of the
qui ,Who
mais ,but
dans ,In
nous ,We
elle ,She
me ,me
bien ,GOOD
si ,if
du ,of
y ,Y
suis ,am
non ,No
t' ,t '
avec ,with
tout ,All
plus ,more
mon ,My
m' ,M '
te ,you
au ,At
fait ,do
moi ,Me
s' ,s'
oui ,Yes
va ,go
était ,was
as ,AS
faire ,TO DO
ils ,they
sur ,on
quoi ,What
se ,se
comme ,as
sais ,know
être ,be
veux ,want
ici ,here
ma ,my
toi ,You
est-ce ,is it
dit ,said
lui ,him
votre ,your
es ,es
pourquoi ,Why
où ,Or
là ,there
rien ,Nothing
cette ,this
sont ,are
quand ,When
peux ,can
dire ,say
son ,her
avez ,have
vais ,go
alors ,SO
ton ,your
comment ,how
par ,by
ou ,Or
chose ,thing
bon ,Good
ont ,have
merci ,THANKS
juste ,just
très ,very
jamais ,Never
été ,summer
aussi ,Also
avoir ,to have
bientôt ,Soon
ii ,II
numéro ,number
personnes ,people
cinq ,five
parfait ,Perfect
excusez-moi ,excuse me
laissé ,leave alone
ainsi ,Thus
retour ,back
semble ,seems
autant ,as much
peine ,penalty
minute ,minute
essayé ,try
plan ,plan
instant ,moment
serai ,will be
prison ,prison
penser ,think
essayer ,to try
prend ,takes
arme ,armed
mauvais ,bad
mot ,word
travailler ,to work
quatre ,four
rentrer ,to return
regarder ,look
choix ,choice
êtes-vous ,are you
parfois ,Sometimes
film ,movie
abord ,on board
voyez ,see
faute ,mistake
facile ,easy
croyais ,believed
bas ,down
changer ,to change
entendre ,hear
plaisir ,pleasure
heureux ,happy
entrer ,enter
voudrais ,would like
es-tu ,are you
propre ,own
étiez ,have been
tour ,round
fera ,will
ensuite ,Next
garder ,keep
agent ,agent
allait ,was going to
lit ,bed
travaille ,work
adore ,adore
amie ,friend
rendre ,give back
allons-y ,Let's go there
route ,road
lieu ,place
année ,year
voit ,sees
commence ,begin
service ,service
devoir ,duty
attend ,waits
drôle ,funny
difficile ,difficult
sûre ,safe
pire ,worse 
pos ,pos
peuvent ,can
sujet ,subject
=======
French,English
je ,I
est ,East
pas ,not
le ,THE
que ,that
la ,there
vous ,YOU
tu ,you
un ,A
c' ,vs'
à ,has
et ,And
il ,he
a ,has
l' ,L'
ne ,born
les ,THE
j' ,I
en ,in
on ,we
ça ,That
une ,a
d' ,d '
ce ,This
qu' ,that
pour ,For
ai ,have
n' ,not'
des ,of the
qui ,Who
mais ,but
dans ,In
nous ,We
elle ,She
me ,me
bien ,GOOD
si ,if
du ,of
y ,Y
suis ,am
non ,No
t' ,t '
avec ,with
tout ,All
plus ,more
mon ,My
m' ,M '
te ,you
au ,At
fait ,do
moi ,Me
s' ,s'
oui ,Yes
va ,go
était ,was
as ,AS
faire ,TO DO
ils ,they
sur ,on
quoi ,What
se ,se
comme ,as
sais ,know
être ,be
veux ,want
ici ,here
ma ,my
toi ,You
est-ce ,is it
dit ,said
lui ,him
votre ,your
es ,es
pourquoi ,Why
où ,Or
là ,there
rien ,Nothing
cette ,this
sont ,are
quand ,When
peux ,can
dire ,say
son ,her
avez ,have
vais ,go
alors ,SO
ton ,your
comment ,how
par ,by
ou ,Or
chose ,thing
bon ,Good
ont ,have
merci ,THANKS
juste ,just
très ,very
jamais ,Never
été ,summer
aussi ,Also
avoir ,to have
bientôt ,Soon
ii ,II
numéro ,number
personnes ,people
cinq ,five
parfait ,Perfect
excusez-moi ,excuse me
laissé ,leave alone
ainsi ,Thus
retour ,back
semble ,seems
autant ,as much
peine ,penalty
minute ,minute
essayé ,try
plan ,plan
instant ,moment
serai ,will be
prison ,prison
penser ,think
essayer ,to try
prend ,takes
arme ,armed
mauvais ,bad
mot ,word
travailler ,to work
quatre ,four
rentrer ,to return
regarder ,look
choix ,choice
êtes-vous ,are you
parfois ,Sometimes
film ,movie
abord ,on board
voyez ,see
faute ,mistake
facile ,easy
croyais ,believed
bas ,down
changer ,to change
entendre ,hear
plaisir ,pleasure
heureux ,happy
entrer ,enter
voudrais ,would like
es-tu ,are you
propre ,own
étiez ,have been
tour ,round
fera ,will
ensuite ,Next
garder ,keep
agent ,agent
allait ,was going to
lit ,bed
travaille ,work
adore ,adore
amie ,friend
rendre ,give back
allons-y ,Let's go there
route ,road
lieu ,place
année ,year
voit ,sees
commence ,begin
service ,service
devoir ,duty
attend ,waits
drôle ,funny
difficile ,difficult
sûre ,safe
pire ,worse 
pos ,pos
peuvent ,can
sujet ,subject
>>>>>>> 54efe6e67173470a814e51c6d84ea55a45fb80e5
